Trip_no,Trip_time,ax,ay,az,gx,gy,gz,mx,my,mz,speed,GPS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,resultant,mob_id_id
22,11:07:21,5.774216,4.2263646,7.542334,0.045938175,-0.021171506,0.003462007,3.6562502,-49.18125,29.812502,0,0,-0.030658245,-0.062422752,0.049453735,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:21,4.71538,2.731784,8.701726,-0.053261653,0.018641578,0.008122402,3.5812502,-49.050003,29.925001,0,0,-0.2953248,-0.21456718,-0.08135176,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:21,5.065532,3.1962593,7.5375457,0.013981183,0.012782796,0.002663082,3.3937502,-49.031254,29.6625,0,0,0.46599197,0.5173812,-0.006094933,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:21,4.638766,1.917157,8.993818,-0.0145138,0.040345702,0.04940018,3.3375,-49.031254,29.493752,0,0,-0.16918468,-0.22319078,0.3240614,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:21,6.05733,3.2441432,9.051279,0.105990686,-0.081889786,-0.003595162,3.3000002,-49.050003,29.5125,0,0,-0.22956514,0.06797671,-0.36014318,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:22,4.8309007,2.2523453,8.222287,-0.002396774,0.00226362,0.011184947,3,-49.312504,29.737501,0,0,-0.41577768,-0.2374134,0.062333107,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:22,5.319318,3.052607,7.949348,-0.012117025,0.024367206,0.037150003,2.9625,-49.256252,29.925001,0,0,0.3828435,0.45908952,0.319211,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:22,4.9266686,3.0573955,9.089587,0.074965775,-0.06364767,-0.014646954,2.7562501,-49.443752,30.300001,0,0,-0.5029459,-0.2739892,-0.21401262,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:22,4.734534,3.804985,7.6907744,-0.005326165,0.026630826,0.001997312,2.5687501,-49.406254,30.337502,0,0,0.064525604,0.07417226,0.025326252,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:22,4.519056,3.0478187,8.744822,-0.021437814,0.04833495,0.046737097,2.41875,-49.612503,30.431252,0,0,0.13912296,-0.063645124,0.31581306,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:23,4.6962266,2.381632,7.1251445,0.0516638,0.005725627,0.006524552,2.34375,-49.725002,30.843752,0,0,-0.30957365,-0.1692245,0.17321777,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:23,4.4759603,2.89459,8.878897,-0.022369893,0.018508423,0.019307349,2.1750002,-49.85625,31.0125,0,0,-0.15044165,-0.2495544,-0.08844757,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:23,4.710592,2.5061307,8.625112,0.04220986,-0.025032977,-0.013981183,2.025,-49.968754,31.29375,0,0,-0.13875246,-0.215873,0.3892908,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:23,4.6339774,2.3289597,7.599795,-0.056989968,0.020905199,-0.011184947,2.0062501,-50.062504,31.237501,0,0,-0.06432915,0.06821036,-0.08359432,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:23,4.7734394,2.813187,7.3645644,-0.013581721,0.013581721,-0.013315413,2.0062501,-50.325,31.425001,0,0,0.163692,-0.09506488,0.117424965,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:24,5.0798974,2.9855695,7.3071036,0.06231613,-0.043674555,-0.018641578,2.23125,-50.343754,31.3875,0,0,-0.06563282,-0.19144058,-0.12290478,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:24,5.003283,2.7700913,8.279748,-0.018242115,-0.020505736,0.004660395,2.2875001,-50.456253,31.66875,0,0,-0.07039499,0.15382648,-0.07136202,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:24,4.8644195,2.6360161,7.5471225,-0.007190323,-0.026364516,0.008655018,2.34375,-50.49375,31.612501,0,0,0.19259167,0.18899727,0.19186115,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:24,5.6784477,2.9137435,8.15525,0.004527241,-0.046337638,-0.050465416,2.4375,-50.49375,31.462502,0,0,-0.05917883,0.09428859,-0.20314789,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:24,5.3288946,2.496554,7.7290816,-0.027163442,-0.067642294,-0.122634955,2.7375002,-50.5875,31.3875,0,0,0.030457497,-0.052150488,-0.030365467,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:25,5.0463786,2.6599581,6.0423665,-0.11970556,-0.024766669,-0.07856093,2.9625,-50.718754,31.2,0,0,0.34561968,-0.008380652,0.09305763,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:25,6.0046577,3.277662,7.709928,-0.034353767,-0.08042509,-0.13368675,3.0937502,-50.737503,30.900002,0,0,0.007056713,-0.19952941,-0.20239162,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:25,5.395932,2.6210523,7.805696,-0.072169535,-0.08961273,-0.17017098,3.3375,-50.5125,30.675001,0,0,0.025642872,-0.12600708,-0.14632893,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:25,5.4486046,2.6551697,7.2113357,-0.08668334,-0.04860126,-0.16244803,3.45,-50.325,30.150002,0,0,0.27872944,0.054784298,0.14637613,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:25,5.93762,2.6982653,7.345411,-0.1161104,-0.096803054,-0.19706811,3.91875,-49.818752,29.531252,0,0,-0.010941982,-0.13503146,0.023180962,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:26,5.6640825,3.0909145,6.7133417,-0.14140968,-0.10785484,-0.22969086,4.7625003,-49.331253,29.062502,0,0,-0.011944771,-0.044887304,-0.30448484,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:26,5.5587378,3.229778,6.789956,-0.2093183,-0.054593194,-0.2659088,5.4375,-48.675003,28.425001,0,0,0.43440676,0.07565522,0.014982224,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:26,5.5204306,3.1914709,7.475296,-0.1288932,-0.1047923,-0.2322208,6.2625003,-47.7,27.562502,0,0,0.29664135,0.20400214,-0.48221827,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:26,6.5505357,3.6272156,7.0006456,-0.09427312,-0.1335536,-0.2481993,7.0875,-46.537502,26.681252,0,0,0.058694363,0.12908411,-0.18659258,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:26,5.8945246,3.4356794,6.363788,-0.14393961,-0.14953208,-0.24420467,8.118751,-45.16875,25.7625,0,0,0.025444984,0.019792795,-0.2338295,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:27,6.2009826,3.3207579,6.9000893,-0.18295377,-0.14420593,-0.25845218,9.243751,-43.66875,24.468752,0,0,0.35176325,-0.017914295,-0.054317474,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:27,5.769428,2.8514943,6.612785,-0.07589785,-0.14860001,-0.29307222,10.44375,-42.075,23.306252,0,0,0.07739878,-0.1777358,-0.089549065,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:27,6.019023,2.5013423,7.575853,-0.17256775,-0.1404776,-0.2356828,11.512501,-40.65,22.143751,0,0,0.033772945,-0.21282697,0.14385271,0,0,0,0,0,0,0,0,0,0,0,0,0,1
